time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1687193096.555965,1.0313181045151494,5.143817963557757,0.2843986621443522,4.7465541732610336e-05,3.481608865813749e-05,0.9967881666633981,0.08008337739309082,-1.8489251715578063,0.454981788118488,-0.0004200551120324448,0.001550861174220904,-0.006595450699830962,0.6083699314769533
1687193096.6559649,0.8467036011422415,5.185079914212615,0.2843651511407584,-2.1866515053148792e-05,5.710448345632651e-05,0.9989519367264182,0.045771436196293674,-1.8768417520088678,0.3238478635319138,-1.0090588433110697e-05,6.0180568211927776e-05,0.0005920495183120234,0.6080777234349625
1687193096.756965,0.6577949808718327,5.211566414707734,0.28439227813015594,-1.6710034632794948e-05,0.00011301589473498268,0.9998860930267033,0.015092644565381482,-1.8974286314900584,0.21126351625418985,0.0005967988925986962,-0.0028328441431461657,0.0003795921262093206,0.6137840576369891
1687193096.855965,0.46193309404401545,5.2246884141962555,0.28434439817442825,-8.9978949266102e-05,3.119589264838202e-05,0.9999469048507467,-0.01030429085463344,-1.8970493891717206,0.10218433225504397,-0.0012019129493188393,0.0052648792141305354,-0.009059458705719383,0.5680434228266987
1687193096.9559648,0.27384965955686585,5.2287795831193655,0.2843320134489977,-5.275130108331943e-05,3.3824230377049936e-05,0.9992684845614288,-0.03824253960613882,-1.8961216186901229,-0.029648726857888157,-0.00013970898051158108,2.8350514895766924e-05,0.0004258563195910478,0.5915404265153196
1687193097.055965,0.07987312554323586,5.221115783662038,0.284318552267086,-4.1766058764082406e-05,5.6400795198788573e-05,0.997444796818282,-0.07144139118663957,-1.9596766702109292,-0.1258308076036524,2.2696258095330102e-05,-0.00023357880583866003,-0.0003128362232837979,0.6171239423969593
1687193097.1559649,-0.1145250207658347,5.203740077035883,0.2843333459550497,-3.105071996159155e-05,8.59401068475365e-05,0.9945264095676413,-0.1044854646477063,-1.937733677642034,-0.22513263502657402,0.00014389863056522454,0.0004892169458729158,0.0002641528536867761,0.7313800802031586
1687193097.2559648,-0.3071361673784493,5.174084576906333,0.28432549365619525,-3.776863466181138e-05,3.462342122144767e-05,0.9900580566852012,-0.14065931098747708,-1.90782514636522,-0.3677330558187914,-0.00014633953830242815,0.0002746258517607977,1.2348090918068925e-05,0.7129409701964156
1687193097.355965,-0.4935614459129499,5.130150864240645,0.2843210051868197,-3.8059917540466805e-05,5.12622479896521e-05,0.9850265863660871,-0.17240249440074354,-1.8265740857726476,-0.49241921911748693,0.00031349752432873997,-0.00018318069087334726,-0.001599693841055512,0.6270631084343308
1687193097.4559648,-0.6783148093784188,5.073405574087253,0.28433821734824527,-8.284432785672893e-05,7.963284496257166e-06,0.9791037146671469,-0.20336152290538617,-1.865954807713904,-0.653251827042843,-0.002347946828288951,0.009545893390180811,0.0022930493356506645,0.5900513922255796
1687193097.555965,-0.8573382960188518,5.006041861274391,0.2842835939722461,-8.80978256510278e-05,-3.5164479226654505e-05,0.9723119931958697,-0.23368649702049032,-1.7606479156736312,-0.7253603320009805,-0.000289263929213021,-0.0005830314988461618,-0.0007856776965010785,0.617028517245428
1687193097.6559649,-1.0313780036904705,4.9293681604683846,0.28429698728931246,-0.00011543075410613792,-3.145483928155951e-05,0.9635633274033117,-0.26748027921660356,-1.7563503086125534,-0.8436450935760379,0.0006637056687744638,0.001472233473807077,-0.0024926231814546796,0.730676310193328
1687193097.7559648,-1.2047908198717012,4.834294614791539,0.2843126347258201,-0.0001736063735965452,-4.2584552392477894e-05,0.9552428669607966,-0.2958226380247131,-1.7245958105217394,-1.0936915633733288,-0.0020520799406672455,0.006586800986024607,0.0028009634401629222,0.30239542910862444
1687193097.855965,-1.3682092738033125,4.735081022989619,0.2842499153088967,-0.00031301597433431623,-0.00019851086716072384,0.9456365605188263,-0.3252250882459097,-1.6041885665131401,-1.020298547739324,9.519867861964162e-05,-0.0003489325626000912,7.565502271719972e-05,0.5968661078930371
1687193097.9559648,-1.52378037145363,4.625417806235002,0.28426492181319535,-0.0002972090693706491,-0.00017540176015409654,0.9353838308782321,-0.35363394892537436,-1.525508224495124,-1.1424477343859034,0.0004958802033569486,-0.0009137286134451399,-0.001177162188651349,0.6079473136909356
1687193098.055965,-1.674942201891515,4.50463832476965,0.284284358022359,-0.00033084845633460743,-0.0001194566963342387,0.923961510065246,-0.38248529930880587,-1.498744575713932,-1.2931796001128786,-0.0003493122934002921,-0.001534752954330031,-0.001061922617360398,0.5757424827352449
1687193098.1559649,-1.8174655786194043,4.375789205877988,0.28423212801498055,-0.00028655699198307645,-0.00016181036653394173,0.9116391062166064,-0.4109915226851802,-1.3667001731521529,-1.3271586595884146,-0.00018980741851614414,-0.00015023109885456502,0.0008505979433412192,0.6102541085785499
1687193098.2559648,-1.9503657434395034,4.239268413378114,0.28422816873971674,-0.00027967291531277063,-0.0001531102710587973,0.8987023515939921,-0.4385589830111043,-1.2900152364160469,-1.4037746401877353,0.00041748617022111526,-0.0005463601422124595,-0.001113157061188201,0.6101540524853176
1687193098.355965,-2.075237086118037,4.094967827374801,0.2843143124754838,-0.0002627338850446076,-4.000161741638156e-05,0.8848003256420753,-0.4659702920943069,-1.2146826137480398,-1.4809972878337214,0.0002833284875545982,-0.0009015379775729155,-0.0003887281882118483,0.634391763148466
1687193098.4559648,-2.1938267499917847,3.9412058044697953,0.2842933451240556,-0.00018945465782396143,-5.3772635980601935e-05,0.8678109212944402,-0.4968945221045723,-1.1244275985690357,-1.5750080595766298,-0.0004025255592461695,0.0005043460550627426,0.000771458756268494,0.6899264922723392
1687193098.555965,-2.2984953479494994,3.779670307960985,0.28426631038006883,-0.00018618418474593363,-3.491348231632241e-05,0.8514527450430932,-0.5244312987180297,-0.9876631603737684,-1.6543051976579966,1.081939580889936e-05,0.00013685365968683127,-0.0009968444873383726,0.6664191270695495
1687193098.6559649,-2.3909185928383696,3.6129850569597886,0.2843421429889649,-0.00021393850496199463,7.140613387937199e-05,0.835125207166067,-0.5500598490049188,-0.9055449930856952,-1.7056471069383536,8.364890081210378e-05,-2.366249534670484e-05,-0.0005808993659792613,0.6336469795964823
1687193098.7559648,-2.477615717432472,3.438387188470881,0.284307248417979,-0.00019454302154420615,2.352427457180054e-05,0.8154176918021242,-0.5788729994530036,-0.8009919374923425,-1.7624534362574096,7.4854270784221465e-06,-0.00015206188597247596,-0.0003495923356107058,0.7007044805418744
1687193098.855965,-2.550661690156045,3.262567954631402,0.2842994716862305,-0.00023804139060272205,3.1898264775343434e-05,0.7943964299459553,-0.6073995838061779,-0.6719816636193015,-1.8157236029825459,0.0003327522224668608,0.0008436913797883165,-0.0008176388981889592,0.6931758056294711
1687193098.9559648,-2.6113959562553344,3.076444235834134,0.2843341016585019,-0.00030996786699690425,-1.3604249082203424e-05,0.7734080254682806,-0.6339084554382448,-0.5084475120218106,-1.9360836694420531,-8.353163257651333e-05,-0.0002021348826696047,-0.00018927109878140723,0.48066698282148607
1687193099.055965,-2.658003442475417,2.886653986083827,0.2842684672393992,-0.000346540058908045,-0.00023028203565151573,0.7570030470814891,-0.6534112132413341,-0.443470433519023,-1.8460899064738292,-0.0004654812593045389,0.001469826779072308,-0.002564583454827305,0.6746236222799099
1687193099.1559649,-2.692852414662625,2.7011351384884006,0.2842688839600314,-0.0003281810833731794,-0.00020966177623085703,0.7381282348096485,-0.6746603273617833,-0.280635450752193,-1.8831747198645725,0.0001124878895257755,2.5097380905222017e-05,-0.0007722007875447998,0.6080100878810765
1687193099.2559648,-2.7190520956653152,2.5116214528831344,0.2843305172134722,-0.00041375301315185585,-0.00013866313679958,0.7166828995468942,-0.6973990472305187,-0.22401675872609395,-1.925990695665539,0.0009270387054030156,-0.00037258987940125515,-0.003806787916639879,0.6830202704709915
1687193099.355965,-2.7355297475159115,2.3175910312759136,0.2843674575083956,-0.0005282330667499614,-0.000147665996134196,0.6912974237504247,-0.7225701149927295,-0.09604263409850126,-1.9472228898837325,0.00021061243307476284,0.0020203335420138344,0.0011105660140015576,0.7291903953175236
